Date,USO,SPY,VCLT,IWM,GLD
2015-01-05,18.790001,182.797379,75.40080999999999,109.573586,115.800003
2015-01-06,18.049999,181.07560700000002,76.200851,107.67793999999999,117.120003
2015-01-07,18.370001000000002,183.33201599999998,76.346336,109.003975,116.43
2015-01-08,18.549999,186.585236,75.72403,110.85291299999999,115.940002
2015-01-09,18.280001000000002,185.090027,75.950333,109.788376,117.260002
2015-01-12,17.41,183.640121,76.451378,109.424194,118.559998
2015-01-13,17.620001000000002,183.123596,76.128113,109.50823999999999,118.160004
2015-01-14,18.27,182.01803600000002,76.53218100000001,109.069321,117.970001
2015-01-15,17.450001,180.350677,77.243385,107.22973600000002,120.940002
2015-01-16,18.33,182.71582,76.572586,108.975945,122.519997
2015-01-20,17.48,183.105469,77.291855,108.51837900000001,124.199997
2015-01-21,17.77,184.0298,77.073639,108.172874,124.230003
2015-01-22,17.41,186.766479,76.855461,110.376663,125.230003
2015-01-23,17.0,185.74250800000002,77.615105,110.301971,124.230003
2015-01-26,16.870001000000002,186.177475,77.607056,111.36651599999999,122.989998
2015-01-27,17.209999,183.72168,77.631287,110.834244,124.400002
2015-01-28,16.559998999999998,181.365585,78.374802,108.96661399999999,123.41999799999999
2015-01-29,16.68,183.042038,78.019188,110.470055,120.760002
2015-01-30,17.82,180.74031100000002,78.900101,108.04213,123.449997
2015-02-02,18.620001000000002,182.978622,78.846603,109.03199,122.41999799999999
2015-02-03,19.620001000000002,185.62468,77.963142,110.98365,121.050003
2015-02-04,18.280001000000002,184.917847,77.557884,110.572777,121.58000200000001
2015-02-05,19.030001000000002,186.78462199999998,77.21749100000001,112.00149499999999,121.790001
2015-02-06,19.469998999999998,186.268112,76.455597,111.880104,118.639999
2015-02-09,19.77,185.434402,76.585266,110.992981,119.16999799999999
2015-02-10,18.940001000000002,187.409882,76.12329100000001,111.702675,118.470001
2015-02-11,18.51,187.518646,76.139473,111.543922,117.07
2015-02-12,19.18,189.32193,76.171898,112.813919,117.339996
2015-02-13,19.620001000000002,190.101303,75.74234799999999,113.486259,117.980003
2015-02-17,19.790001,190.40031399999998,75.029099,113.841125,116.010002
2015-02-18,19.26,190.418427,75.19117,113.962502,116.339996
2015-02-19,19.1,190.282516,74.964218,113.97186299999998,115.940002
2015-02-20,18.65,191.424316,75.04528,114.280014,115.279999
2015-02-23,18.110001,191.397171,75.89634699999999,114.392082,115.43
2015-02-24,18.040001,191.940842,76.277275,114.541473,115.260002
2015-02-25,18.65,191.77774,76.71491999999999,114.672226,115.699997
2015-02-26,18.030001000000002,191.551178,76.04220600000001,115.09241499999999,116.07
2015-02-27,18.1,190.89875800000002,76.382614,114.466774,116.160004
2015-03-02,18.32,192.104004,75.279129,115.297874,115.68
2015-03-03,18.49,191.315567,75.327881,114.616173,115.470001
2015-03-04,19.01,190.509064,75.4011,114.26133700000001,115.110001
2015-03-05,18.709999,190.717499,75.43364,114.59751100000001,115.0
2015-03-06,18.24,188.035172,74.490273,113.150093,111.860001
2015-03-09,18.35,188.81445300000001,74.43335,113.64501200000001,111.970001
2015-03-10,17.91,185.751587,74.929413,112.33766899999999,111.41999799999999
2015-03-11,17.77,185.316605,75.449875,113.028709,110.75
2015-03-12,17.440001000000002,187.672699,75.506821,114.90565500000001,110.720001
2015-03-13,16.799999,186.521805,75.010735,114.49477399999999,110.879997
2015-03-16,16.35,189.013855,75.30348199999999,115.16713,110.809998
2015-03-17,15.96,188.451996,75.66130799999999,115.475296,110.209999
2015-03-18,16.76,190.717499,76.970573,116.39975,112.370003
2015-03-19,16.08,189.847534,76.59650400000001,116.623878,112.290001
2015-03-20,16.43,191.523331,76.677803,117.651077,113.57
2015-03-23,16.780001000000002,191.15013100000002,76.710396,117.54834,114.290001
2015-03-24,16.790001,190.07603500000002,77.287773,117.520325,114.57
2015-03-25,17.360001,187.29071000000002,76.913689,114.71314199999999,114.730003
2015-03-26,18.209999,186.844666,76.010979,114.572647,115.480003
2015-03-27,17.139999,187.272491,76.645317,115.303261,115.059998
2015-03-30,17.23,189.55722,76.572098,116.86747700000001,113.75
2015-03-31,16.84,187.90055800000002,76.523315,116.49282099999999,113.660004
2015-04-01,17.58,187.23611499999998,77.321503,116.539627,115.599998
2015-04-02,17.559998999999998,187.90966799999998,76.92977900000001,116.755074,115.279999
2015-04-06,18.43,189.174911,76.65226,117.270241,116.690002
2015-04-07,19.059998999999998,188.674225,77.394951,116.520905,116.110001
2015-04-08,18.07,189.311417,77.33783000000001,117.523155,115.470001
2015-04-09,18.030001000000002,190.148849,76.791023,117.10163100000001,114.66999799999999
2015-04-10,18.41,191.18649299999998,76.750221,117.663651,115.970001
2015-04-13,18.5,190.32179299999999,76.807335,117.738571,115.139999
2015-04-14,18.82,190.685867,76.98691600000001,117.71046399999999,114.440002
2015-04-15,19.709999,191.541504,77.15010799999999,118.53476,115.43
2015-04-16,19.940001000000002,191.48689299999998,76.848137,118.46918500000001,115.029999
2015-04-17,19.84,189.284119,77.403114,116.549026,115.599998
2015-04-20,19.889999,191.01358000000002,77.109314,117.691727,114.720001
2015-04-21,19.450001,190.786011,76.970543,117.569969,115.379997
2015-04-22,19.360001,191.723602,76.15439599999999,117.747948,113.83000200000001
2015-04-23,19.76,192.205994,76.187057,118.28184499999999,114.660004
2015-04-24,19.67,192.652054,76.333954,117.88845800000001,113.050003
2015-04-27,19.52,191.850983,76.374786,116.58649399999999,115.33000200000001
2015-04-28,19.6,192.460846,75.615753,117.23278,116.33000200000001
